Proj,Ample,Anderberg,ArithmeticMean,Barinel,Dice,DStar,Euclid,Fagge,Fleiss,GeometricMean,Goodman,Gp13,Hamann,Hamming,HarmonicMean,Jaccard,Kulczynski1,Kulczynski2,M1,M2,McCon,Minus,Muse,Naish1,Naish2,Ochiai,Ochiai2,Overlap,Qe,RogersTanimoto,Rogot1,Rogot2,RussellRao,Scott,SimpleMatching,Sokal,SorensenDice,Tarantula,Wong1,Wong2,Wong3,Zoltar,null,
Closure_120, 25,25,25,25,25,25,13074,25,5454,25,-,25,13074,13074,25,25,25,25,13074,25,25,25,25,13071,25,25,25,25,25,13074,13082,25,25,5454,13074,13074,25,25,25,-,-,25,25,
Closure_121, 10,10,10,10,10,10,8447,10,6304,10,-,10,8447,8447,10,10,10,10,8447,10,10,10,10,8445,10,10,10,10,10,8447,10,10,10,6304,8447,8447,10,10,10,-,-,10,10,
Closure_122, 1,1,1,1,1,1,137,1,90,1,-,1,137,137,1,1,1,1,137,1,1,1,1,137,1,1,1,1,1,137,1,1,1,90,137,137,1,1,1,-,-,1,1,
Closure_123, 3,3,3,3,3,3,235,3,1528,3,-,3,235,235,3,3,3,3,235,3,3,3,3,235,3,3,3,3,3,235,3,3,3,1528,235,235,3,3,3,-,-,3,3,
Closure_124, 1,1,1,1,1,1,1654,1,8666,1,-,1,1654,1654,1,1,1,1,1654,1,1,1,1,1654,1,1,1,1,1,1654,1,1,1,8666,1654,1654,1,1,1,-,-,1,1,
Closure_125, 4,4,4,4,4,4,76,4,2886,4,-,4,76,76,4,4,4,4,76,4,4,4,4,76,4,4,4,4,4,76,4,4,4,2886,76,76,4,4,4,-,-,4,4,
Closure_126, 1,1,1,1,1,1,1,1,7850,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1412,1,1,1,1,1,1,1,1,1,7843,1,1,1,1,1,1,1,1,1,
Closure_127, 22,32,32,40,32,32,11730,22,7833,31,-,22,11730,11730,27,32,32,27,11730,22,27,22,22,-,22,31,39,271,40,11730,32,27,22,7806,11730,11730,32,40,22,-,22,22,31,
Closure_128, 1,1,1,1,1,1,272,1,1489,1,-,1,272,272,1,1,1,1,272,1,1,1,1,272,1,1,1,1,1,272,1,1,1,1489,272,272,1,1,1,-,-,1,1,
Closure_129, 3043,3564,3564,3564,3564,3564,2288,3564,311,3564,-,3564,2288,2288,3564,3564,3564,3564,2288,3564,3564,3564,3564,2287,3564,3564,3564,3564,3564,2288,2784,3564,3564,311,2288,2288,3564,3564,3564,-,-,3564,3564,
Closure_130, 6,6,6,6,6,6,428,6,5737,6,-,6,428,428,6,6,6,6,428,6,6,6,6,428,6,6,6,6,6,428,6,6,6,5737,428,428,6,6,6,-,-,6,6,
Closure_131, 10,11,11,11,11,11,11,10,4652,12,-,10,11,11,10,11,11,10,11,10,10,10,10,1893,10,12,11,12,11,11,11,10,10,4652,11,11,11,11,10,-,-,10,12,
Closure_132, 4,4,4,4,4,4,91,4,6374,4,-,4,91,91,4,4,4,4,91,4,4,4,4,88,4,4,4,4,4,91,4,4,4,6374,91,91,4,4,4,-,-,4,4,
Closure_133, 2,2,2,2,2,2,26,2,1382,2,-,2,26,26,2,2,2,2,26,2,2,2,2,25,2,2,2,2,2,26,2,2,2,1382,26,26,2,2,2,-,-,2,2,
Mockito_1, -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Mockito_2, -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Mockito_3, -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Mockito_4, 2,2,2,2,2,2,2,2,1086,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,2,2,2,2,2,2,2,2,810,2,2,2,2,2,2,2,2,2,
Mockito_5, -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Mockito_6, -,-,-,-,-,-,41,-,693,-,-,-,41,41,-,-,-,-,41,-,-,-,-,41,-,-,-,-,-,41,41,-,-,693,41,41,-,-,-,-,-,-,-,
Mockito_7, 2,2,2,2,2,2,316,2,667,2,-,2,316,316,2,2,2,2,316,2,2,2,2,316,2,2,2,2,2,316,2,2,2,667,316,316,2,2,2,-,-,2,2,
Mockito_8, 1,1,1,1,1,1,316,1,710,1,-,1,316,316,1,1,1,1,316,1,1,1,1,316,1,1,1,1,1,316,1,1,1,710,316,316,1,1,1,-,-,1,1,
Mockito_9, -,-,-,-,-,-,660,-,1196,-,-,-,660,660,-,-,-,-,660,-,-,-,-,660,-,-,-,-,-,660,660,-,-,1196,660,660,-,-,-,-,-,-,-,
Mockito_10, 10,10,10,10,10,10,315,10,909,10,-,10,315,315,10,10,10,10,315,10,10,10,10,308,10,10,10,10,10,315,10,10,10,913,315,315,10,10,10,-,-,10,10,
Mockito_11, -,-,-,-,-,-,461,-,393,-,-,-,461,461,-,-,-,-,461,-,-,-,-,461,-,-,-,-,-,461,461,-,-,393,461,461,-,-,-,-,-,-,-,
Mockito_12, 1,1,1,1,1,1,1,1,721,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,1,1,1,61,1,1,1,1,1,658,1,1,1,1,1,1,1,1,1,
Mockito_13, 30,30,30,30,30,30,1158,30,160,30,-,30,1158,1158,30,30,30,30,1158,30,30,30,30,1157,30,30,30,30,30,1158,1158,30,30,160,1158,1158,30,30,30,-,-,30,30,
Mockito_14, 46,46,46,46,46,46,119,46,84,46,-,46,119,119,46,46,46,46,119,46,46,46,46,117,46,46,46,46,46,119,128,46,46,84,119,119,46,46,46,-,-,46,46,
Mockito_15, 6,6,6,6,6,6,1180,6,958,6,-,6,1180,1180,6,6,6,6,1180,6,6,6,6,-,6,6,6,6,6,1180,6,6,6,955,1180,1180,6,6,6,-,-,6,6,
Mockito_16, 5,5,5,5,5,5,123,5,31,5,-,5,123,123,5,5,5,5,123,5,5,5,5,121,5,5,5,5,5,123,5,5,5,31,123,123,5,5,5,-,-,5,5,
Mockito_17, 4,4,4,4,4,4,343,4,28,4,-,4,343,343,4,4,4,4,343,4,4,4,4,343,4,4,4,4,4,343,4,4,4,28,343,343,4,4,4,-,-,4,4,
Mockito_18, -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Mockito_19, -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Mockito_20, -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Mockito_21, -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Mockito_22, 632,-,-,-,-,-,1109,-,622,-,-,-,1109,1109,-,-,-,-,1109,-,-,-,-,1082,-,-,-,-,-,1109,1135,1285,-,622,1109,1109,-,-,-,-,-,-,-,
Mockito_23, 81,26,26,26,26,26,167,206,887,27,-,206,167,167,72,26,26,206,167,206,-,79,79,149,206,27,26,27,26,167,26,72,206,895,167,167,26,26,206,-,-,206,27,
Mockito_24, 470,-,-,-,-,-,95,-,410,-,-,-,95,95,-,-,-,-,95,-,-,-,-,94,-,-,-,-,-,95,123,297,-,410,95,95,-,-,-,-,-,-,-,
Mockito_25, 2,2,2,3,2,2,2,2,786,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-,2,2,2,6,3,2,2,2,2,590,2,2,2,3,2,2,2,2,2,
Mockito_26, 3,3,3,3,3,3,314,3,308,3,-,3,314,314,3,3,3,3,314,3,3,3,3,314,3,3,3,3,3,314,314,3,3,308,314,314,3,3,3,-,-,3,3,
Mockito_27, 21,21,21,21,21,21,21,21,36,21,21,21,21,21,21,21,21,21,21,21,21,21,21,413,21,21,21,21,21,21,21,21,21,36,21,21,21,21,21,21,21,21,21,
Mockito_28, 35,35,35,35,35,35,155,35,929,35,-,35,155,155,35,35,35,35,155,35,35,35,35,155,35,35,35,35,35,155,35,35,35,920,155,155,35,35,35,-,-,35,35,
Mockito_29, 1,1,1,1,1,1,1,1,1087,1,-,1,1,1,1,1,1,1,1,1,1,1,1,204,1,1,1,1,1,1,1,1,1,840,1,1,1,1,1,-,-,1,1,
Mockito_30, 1,1,1,1,1,1,62,1,807,1,-,1,62,62,1,1,1,1,62,1,1,1,1,62,1,1,1,1,1,62,1,1,1,807,62,62,1,1,1,-,-,1,1,
Mockito_31, 1,1,1,1,1,1,830,1,1044,1,-,1,830,830,1,1,1,1,830,1,1,1,1,843,1,1,1,1,1,830,1,1,1,960,830,830,1,1,1,-,-,1,1,
Mockito_32, 1,1,1,1,1,1,321,1,38,1,-,1,321,321,1,1,1,1,321,1,1,1,1,321,1,1,1,1,1,321,1,1,1,38,321,321,1,1,1,-,-,1,1,
Mockito_33, 19,13,13,13,13,13,118,19,188,13,-,19,118,118,27,13,13,21,118,19,21,19,19,116,19,13,13,13,13,118,13,27,19,188,118,118,13,13,19,-,-,21,13,
Mockito_34, 13,35,35,35,35,35,127,13,131,35,-,13,127,127,13,35,35,13,127,13,13,13,13,127,13,31,35,31,35,127,159,13,13,131,127,127,35,35,13,-,-,13,31,
Mockito_35, 12,1,1,1,1,1,1,12,414,1,-,12,1,1,12,1,1,12,1,12,12,12,12,26,12,1,1,2,1,1,1,12,12,414,1,1,1,1,12,-,12,12,1,
Mockito_36, 1,4,4,4,4,4,122,1,115,4,-,1,122,122,1,4,4,1,122,1,1,1,1,119,1,4,4,4,4,122,4,1,1,115,122,122,4,4,1,-,-,1,4,
Mockito_37, 1,2,2,2,2,2,289,1,325,2,-,1,289,289,1,2,2,1,289,1,1,1,1,289,1,2,2,2,2,289,290,1,1,325,289,289,2,2,1,-,-,1,2,
Mockito_38, 1,1,1,1,1,1,159,1,561,1,-,1,159,159,1,1,1,1,159,1,1,1,1,159,1,1,1,1,1,159,1,1,1,561,159,159,1,1,1,-,-,1,1,
Time_1, 472,4,8,46,4,4,194,153,583,27,-,153,194,194,63,4,4,105,194,152,-,56,63,182,153,48,26,54,46,194,4,63,153,583,194,194,4,42,153,-,24,54,48,
Time_2, 536,13,10,46,13,13,194,152,586,21,-,152,194,194,63,13,13,105,194,151,-,56,68,182,152,32,20,38,46,194,10,63,152,586,194,194,13,42,152,-,50,45,32,
Time_3, 68,1,1,14,1,1,243,190,631,1,-,190,243,243,3,1,1,32,243,145,-,8,33,425,190,1,1,30,14,243,1,3,190,631,243,243,1,14,190,-,11,20,1,
Time_4, 624,17,14,53,17,17,759,232,578,25,-,232,759,759,71,17,17,113,759,224,-,64,95,717,232,36,24,40,53,759,14,71,232,578,759,759,17,53,232,-,53,49,36,
Time_5, 292,2,2,20,2,2,390,85,707,2,-,85,390,390,16,2,2,47,390,67,-,9,34,348,85,2,2,23,20,390,2,16,85,707,390,390,2,20,85,-,5,21,2,
Time_6, 133,1,1,10,1,1,10,101,722,7,-,101,10,10,10,1,1,31,10,61,-,2,2,1009,101,7,7,29,10,10,1,10,101,722,10,10,1,10,101,-,2,9,7,
Time_7, 168,9,9,120,9,9,1099,174,172,29,-,174,1099,1099,107,9,9,172,1099,158,-,131,39,1041,174,48,47,58,120,1099,9,107,174,172,1099,1099,9,120,174,-,14,56,48,
Time_8, 74,1,1,1,1,1,1,1,1,1,-,1,1,1,1,1,1,1,1,1,1,1,2,270,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,
