Proj,Ample,Anderberg,ArithmeticMean,Barinel,Dice,DStar,Euclid,Fagge,Fleiss,GeometricMean,Goodman,Gp13,Hamann,Hamming,HarmonicMean,Jaccard,Kulczynski1,Kulczynski2,M1,M2,McCon,Minus,Muse,Naish1,Naish2,Ochiai,Ochiai2,Overlap,Qe,RogersTanimoto,Rogot1,Rogot2,RussellRao,Scott,SimpleMatching,Sokal,SorensenDice,Tarantula,Wong1,Wong2,Wong3,Zoltar,null,
Math_2, 11,11,11,11,11,11,19623,11,5584,11,-,11,19623,19623,11,11,11,11,19623,11,11,11,11,-,11,11,11,11,11,19623,11,11,11,4721,19623,19623,11,11,11,-,-,11,11,
Math_3, 1,1,1,1,1,1,923,1,5622,1,-,1,923,923,1,1,1,1,923,1,1,1,1,923,1,1,1,1,1,923,1,1,1,4288,923,923,1,1,1,-,-,1,1,
Math_4, 8,1,1,1,1,1,11473,8,5465,1,-,8,11473,11473,8,1,1,8,11473,8,-,8,8,13325,8,1,1,1,1,11473,1,8,8,3637,11473,11473,1,1,8,-,-,8,1,
Math_5, 2,2,2,2,2,2,2,2,5537,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2619,2,2,2,2,2,2,2,2,2,1817,2,2,2,2,2,2,2,2,2,
Math_6, 75,2,2,2,2,2,2,193,2300,2,2,193,2,2,2,2,2,2,2,83,2,65,75,2977,193,2,2,178,2,2,2,2,193,1131,2,2,2,2,193,2,63,2,2,
Math_7, 1,1,1,1,1,1,6240,1,1000,1,-,1,6240,6240,1,1,1,1,6240,1,1,1,1,6240,1,1,1,1,1,6240,1,1,1,1000,6240,6240,1,1,1,-,-,1,1,
Math_8, 1,1,1,1,1,1,1,1,5451,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,1,1,1,1,1,1,1,1,1,1804,1,1,1,1,1,1,1,1,1,
Math_9, 1,1,1,1,1,1,1,1,5425,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,1,1,1,1,1,1,1,1,1,1804,1,1,1,1,1,1,1,1,1,
Math_10, 1,1,1,1,1,1,1,1,5088,1,-,1,1,1,1,1,1,1,1,1,1,1,1,466,1,1,1,1,1,1,1,1,1,2008,1,1,1,1,1,-,-,1,1,
Math_11, 9,9,9,9,9,9,9,9,5080,9,-,9,9,9,9,9,9,9,9,9,9,9,9,-,9,9,9,9,9,9,9,9,9,2015,9,9,9,9,9,-,-,9,9,
Math_12, -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Math_13, 28,28,28,28,28,28,24892,28,1708,28,-,28,24892,24892,28,28,28,28,24892,28,28,28,28,24885,28,28,28,28,28,24892,28,28,28,1696,24892,24892,28,28,28,-,-,28,28,
Math_14, 1672,-,-,-,-,-,24992,-,1641,-,-,-,24992,24992,-,-,-,-,24992,-,-,-,-,24956,-,-,-,-,-,24992,25007,25021,-,1641,24992,24992,-,-,-,-,-,-,-,
Math_15, 1,1,1,1,1,1,1,1,160,1,1,1,1,1,1,1,1,1,1,1,1,1,1,313,1,1,1,1,1,1,1,1,1,160,1,1,1,1,1,-,-,1,1,
Math_16, 1,1,1,1,1,1,10365,1,3407,1,-,1,10365,10365,1,1,1,1,10365,1,1,1,1,10365,1,1,1,1,1,10365,1,1,1,3059,10365,10365,1,1,1,-,-,1,1,
Math_17, 90,90,90,90,90,90,18315,90,3778,90,-,90,18315,18315,90,90,90,90,18315,90,90,90,90,-,90,90,90,90,90,18315,90,90,90,3579,18315,18315,90,90,90,-,-,90,90,
Math_18, -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Math_19, 5,5,5,5,5,5,1803,5,4003,5,-,5,1803,1803,5,5,5,5,1803,5,5,5,5,1800,5,5,5,5,5,1803,5,5,5,2243,1803,1803,5,5,5,-,-,5,5,
Math_20, -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Math_21, -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Math_22, 16,1,1,1,1,1,1,16,4223,1,1,16,1,1,1,1,1,1,1,16,1,16,16,-,16,1,1,1,1,1,1,1,16,1527,1,1,1,1,16,1,1,1,1,
Math_23, 2,2,2,2,2,2,6675,2,4123,2,-,2,6675,6675,2,2,2,2,6675,2,2,2,2,7730,2,2,2,2,2,6675,2,2,2,2186,6675,6675,2,2,2,-,-,2,2,
Math_24, 9,9,9,9,9,9,7739,9,4118,9,-,9,7739,7739,9,9,9,9,7739,9,9,9,9,7731,9,9,9,9,9,7739,9,9,9,2282,7739,7739,9,9,9,-,-,9,9,
Math_25, -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
